#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2021/5/1,104.639711,91.93047781,98.88355888,110.7637588,107.4367521,115.2413816,103.259222,88.96569308,98.09903338,86.70243074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/6/1,86.94166948,72.14898911,79.54830169,91.3852601,90.34247912,95.43448345,86.90185892,68.27425039,79.5564001,66.20520585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/7/1,91.93248954,77.51321443,84.74067988,96.89875415,93.72502835,88.12758448,86.2344512,75.70923335,81.97174904,74.04662124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/8/1,170.4234948,154.5608339,160.2461019,200.1305316,180.7631442,199.6792997,161.4884558,152.5195936,155.2662112,151.1233923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/9/1,194.620966,184.3561324,188.8711917,202.5353031,195.4260606,192.9655238,185.9774604,180.9524887,185.5564605,177.7032961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/10/1,82.61912701,70.98768128,72.02618508,110.7554539,95.56614012,113.9931016,81.40810343,69.67417213,71.55386169,69.34384796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/11/1,119.2855001,109.4823211,110.2167796,136.2989596,128.9576877,142.7379383,119.2940436,107.9430908,111.4619419,106.3798934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/12/1,56.3671936,57.22202473,53.45330757,61.60342814,60.38767858,72.60000166,59.5726259,56.64279501,55.59238206,57.86447135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/1,80.2070942,70.48618888,67.92135976,95.55171478,88.07928232,108.1344824,77.12886046,66.29887502,68.56631055,67.56152691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/1,66.02001333,49.92244077,50.85262924,100.9284542,85.61259527,120.0448347,69.63994187,47.60938622,52.9318098,49.08821576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
