#Prcp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10,eco1,eco2,eco3,eco4,eco5,eco6,eco7,eco8,eco9,eco10
TIMESTEP,MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),MEAN(mm/month),VARIANCE(mm/month^1),VARIANCE(mm/month^5),VARIANCE(mm/month^9),VARIANCE(mm/month^13),VARIANCE(mm/month^17),VARIANCE(mm/month^21),VARIANCE(mm/month^22),VARIANCE(mm/month^27),VARIANCE(mm/month^30),VARIANCE(mm/month^35),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month),STD_DEV(mm/month)
2018/7/1,189.9475629,168.4272633,177.2667795,211.9534825,201.1204497,213.9344886,189.9357549,166.2207964,175.6630115,168.3461027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/8/1,148.6166627,141.8739347,142.5240683,175.2491166,157.8361547,182.5517303,142.4634121,138.307738,137.5473571,138.5953269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/9/1,211.6720169,203.7627424,206.6818666,220.74496,212.852451,216.2413693,203.6322119,198.5201899,202.6549288,194.5686361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/10/1,47.10133065,37.40821523,39.14974768,67.22191591,56.38925901,70.23448986,46.87560405,37.33408448,39.22301919,37.17071083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/11/1,99.17030103,88.30672564,90.11856068,118.161587,109.6249235,124.0758545,99.63462958,87.79459537,91.45543226,86.41958511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018/12/1,29.76890298,27.12434613,26.43999936,37.02243187,34.80277977,46.50689583,34.03705872,29.03513457,29.37982767,30.11646457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/1/1,46.51532555,39.20583236,38.48101601,58.62523652,52.94193053,68.03448572,45.84599731,37.9084084,39.64771385,38.79514601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/2/1,58.63793383,43.49011813,44.71821941,90.83676164,76.54776807,107.2448324,61.5912508,41.73558424,46.57667692,42.96637669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/3/1,92.72311294,77.86910195,81.78787702,113.2993834,103.6869137,115.7586172,88.23267855,75.51155994,80.03470178,75.27937276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/4/1,95.48429361,83.41416934,88.82720614,106.155558,100.9796608,112.1896545,94.94404261,81.14767233,88.31026579,78.63829995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/5/1,96.05237472,81.93601303,89.56093433,103.1468352,99.09144386,107.6379379,93.11545516,79.20180278,88.05873747,76.48959783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/6/1,88.16820874,75.41928646,81.88856004,92.11225277,90.80937739,92.78965641,87.94255306,72.73776587,82.01940983,71.62547904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/7/1,187.7979708,167.3882186,176.0832255,207.2803821,198.1850674,214.4931141,188.899443,163.8530078,173.8943161,164.5337923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/8/1,132.9831574,124.1833367,126.8399191,155.0574285,141.3232846,159.3793103,130.5100589,123.1454969,125.0688541,123.3440258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/9/1,205.5045015,198.5092926,201.1982229,211.5169198,205.0069304,203.4758662,195.9317529,193.1286075,196.7816596,188.9388274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/10/1,147.8991185,127.2619657,128.2406769,201.531884,172.420877,211.2482962,147.1450729,124.5113382,127.2325724,124.4379538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/11/1,98.18239521,87.74207934,89.23626582,117.5012476,108.2884951,123.6310426,97.49022673,86.29894158,89.74994653,84.43414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019/12/1,65.01741315,64.48875088,61.01550867,72.09958675,70.31324925,84.11035069,69.10474519,64.68566086,63.94674633,66.18977418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/1/1,51.91291986,44.24482382,43.16110317,64.27123642,58.34705378,73.32068586,50.75428355,42.68551098,44.45782701,43.71924069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/2/1,67.62875439,50.291904,51.65059274,104.5326097,88.18729313,122.9827695,71.07532715,48.04542066,53.81747935,49.31334593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/3/1,52.41108649,42.59107474,45.28534158,66.43447227,59.90218283,69.22759017,50.39515747,41.66907197,44.68557159,41.8017356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/4/1,26.22843585,22.14041746,23.93016892,29.81100785,28.01984708,31.06206972,25.71322216,21.8195201,23.80492854,21.00156148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/5/1,125.538626,110.3406602,118.8074586,132.0497402,128.2448243,135.3965555,122.5878932,106.8864902,117.4710887,104.0620465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/6/1,14.26529431,9.654345536,11.83508509,16.19449614,15.38216991,15.64482724,13.33733752,9.383858872,11.60040678,8.744020979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/7/1,188.6979754,164.6442259,174.7122935,212.9758048,201.3685383,221.2551659,189.8186171,161.7311567,172.9522876,161.7570244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/8/1,39.82856233,33.9322028,36.03694944,50.38224244,44.63031721,56.53103559,39.72197479,33.36013529,35.13948222,32.85719323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/9/1,200.4141317,191.861074,195.0536483,210.6159938,202.5370757,208.993111,193.721134,187.1440676,191.4647965,183.5353458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/10/1,51.49860559,41.43059348,43.41356023,70.99532796,60.1818996,69.4620731,49.53174926,41.36704013,43.11138237,41.12842235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/11/1,73.52507903,65.96083304,66.91271506,88.50685994,82.05545392,96.82759,75.55502544,65.63160886,68.43023255,64.96100625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020/12/1,84.25807408,85.24149227,79.87263066,92.26552481,90.54241919,109.1482741,89.64897441,84.71899973,83.28943578,86.65823977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/1/1,89.72622003,79.52957697,76.51338504,105.7732122,97.85643447,119.2206918,86.13901641,74.9150139,77.22362954,76.39843841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/2/1,36.10240722,25.84976256,27.10932291,57.1889952,47.44471212,66.35172386,37.33212298,25.08693752,28.18866935,25.87001739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/3/1,55.79119613,44.72654733,47.45500125,72.8717467,64.92295272,75.73102862,53.21266844,43.57537643,46.55894545,43.92236016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/4/1,71.97523561,62.26380889,66.72101605,79.9435117,75.9902974,83.8241419,71.54413211,60.77928043,66.50995799,58.71854531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/5/1,127.0899919,111.4136921,120.337119,132.5755986,129.1025089,134.0241376,123.219461,108.0138175,118.6509128,104.7487069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/6/1,38.42919672,30.21934599,34.33855889,41.50373639,40.47666479,42.10689172,37.7986979,28.75668171,34.21478613,27.64280682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/7/1,241.2014069,217.032327,227.4417764,263.0598154,252.1379023,265.5172624,239.1594023,211.8638973,223.39283,212.0762751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/8/1,482.9362379,454.8342864,460.8106702,574.7261782,520.4290588,618.3069314,483.6767331,450.5428674,455.986951,453.8516505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/9/1,158.2571199,149.2335128,152.3329709,174.7175576,164.4891544,182.4758638,156.8007391,146.4508347,150.6966489,144.661704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/10/1,105.6498384,91.7121448,92.63965725,141.1041615,121.5251368,145.224151,104.1590256,89.75675584,91.83958114,89.6268632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/11/1,174.4155217,161.2132759,161.3026285,201.3801693,188.9408975,212.0586262,173.5032621,157.2730462,161.6735744,154.6783423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021/12/1,66.85693363,66.36166579,62.72465931,74.85836101,72.85779724,89.09654759,71.96247738,66.7564512,66.08892225,68.41733156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/1/1,67.11114525,57.20922676,55.81491406,83.23811208,75.56253861,93.87931055,65.71945996,54.79602003,57.25955122,56.22426355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022/2/1,31.36751145,22.09362998,23.08330441,50.80176694,42.06592268,60.70344421,33.31815644,21.59849769,24.52378008,22.4696699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
